ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,AD,CBO,CC,CCL,CCO,CI,CLC,CLLC,CLOC,DIT,DLOC,LCOM5,LDC,LLDC,LLOC,LOC,NG,NLG,NLM,NLPM,NLS,NM,NOA,NOC,NOD,NOI,NOP,NOS,NPM,NS,PDA,PUA,RFC,TCLOC,TLLOC,TLOC,TNG,TNLG,TNLM,TNLPM,TNLS,TNM,TNOS,TNPM,TNS,WMC,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Best Practice Rules,Code Style Rules,Design Rules,Documentation Rules,Error Prone Rules,Multithreading Rules,Performance Rules,Security Rules,Clone Metric Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Inheritance Metric Rules,Size Metric Rules
L16361,BuildConfig,com.whatEver.iitnstu.BuildConfig,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\source\buildConfig\debug\com\whatEver\iitnstu\BuildConfig.java,6,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
L16377,AuthenticationActivityTest,com.whatEver.iitnstu.AuthenticationActivityTest,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\androidTest\java\com\whatEver\iitnstu\AuthenticationActivityTest.java,30,1,94,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,45,53,0,0,2,1,0,2,0,0,0,0,0,7,1,0,0,2,2,0,56,65,0,0,4,3,0,4,11,3,0,2,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0
L16406,ExampleInstrumentedTest,com.whatEver.iitnstu.ExampleInstrumentedTest,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\androidTest\java\com\whatEver\iitnstu\ExampleInstrumentedTest.java,19,1,28,2,0.5,0,0,0,0,0,0,0,6,0,5,1,0,0,8,10,0,0,1,1,0,1,0,0,0,0,0,2,1,0,1,1,1,6,8,10,0,0,1,1,0,1,2,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
L16410,AllCourseDetailsActivity,com.whatEver.iitnstu.AllCourseDetailsActivity,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\AllCourseDetailsActivity.java,16,1,47,2,1,3,0,0,0,0,0,0,7,0,7,1,0,0,22,32,0,0,2,0,0,2,0,0,0,2,0,7,0,0,1,0,4,7,22,32,0,0,2,0,0,2,7,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L16382,AuthenticationActivity,com.whatEver.iitnstu.AuthenticationActivity,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\AuthenticationActivity.java,20,1,86,2,1,2,0,0,0,0,0,0,4,0,4,1,0,0,49,63,0,0,1,0,0,1,0,0,0,0,0,11,0,0,1,0,1,4,53,67,0,0,2,1,0,2,12,1,0,1,0,0,1,3,9,0,2,7,3,0,0,0,0,0,0,0,0,0,1,0,0
L16779,CourseCoordinatorActivity,com.whatEver.iitnstu.CourseCoordinatorActivity,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\CourseCoordinatorActivity.java,23,1,68,2,1,3,0,0,0,0,0,0,7,0,7,1,0,0,34,46,0,0,2,0,0,2,0,0,0,2,0,9,0,0,1,0,4,7,34,46,0,0,2,0,0,2,9,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L16814,DevelopersActivity,com.whatEver.iitnstu.DevelopersActivity,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\DevelopersActivity.java,13,1,26,2,1,3,0,0,0,0,0,0,4,0,4,1,0,0,10,14,0,0,1,0,0,1,0,0,0,0,0,4,0,0,1,0,1,4,10,14,0,0,1,0,0,1,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L16824,DirectorProfileActivity,com.whatEver.iitnstu.DirectorProfileActivity,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\DirectorProfileActivity.java,21,1,68,2,1,3,0,0,0,0,0,0,9,0,8,1,0,0,36,48,0,0,2,0,0,2,0,0,0,2,0,11,0,0,1,0,4,9,36,48,0,0,2,0,0,2,11,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L16460,HomeActivity,com.whatEver.iitnstu.HomeActivity,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\HomeActivity.java,22,1,173,2,0.923077,13,0,0,0,0,0,0,59,0,59,13,0,0,73,144,0,0,13,12,0,13,0,0,0,0,0,35,12,0,12,1,13,59,80,152,0,0,15,14,0,15,36,14,0,15,0,0,5,0,15,0,0,14,0,1,0,0,0,0,0,2,0,1,2,0,0
L16873,IntroActivity,com.whatEver.iitnstu.IntroActivity,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\IntroActivity.java,11,1,18,2,1,1,0,0,0,0,0,0,4,0,4,1,0,0,7,8,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1,4,7,8,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L16939,MainActivity,com.whatEver.iitnstu.MainActivity,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\MainActivity.java,23,1,59,2,1,2,0,0,0,0,0,0,10,0,9,1,0,0,28,37,0,0,1,0,0,1,0,0,0,0,0,4,0,0,1,0,1,10,28,37,0,0,1,0,0,1,4,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
L16929,NoticeBoardActivity,com.whatEver.iitnstu.NoticeBoardActivity,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\NoticeBoardActivity.java,33,1,129,2,1,5,0,0,0,0,0,0,13,0,13,1,0,0,76,97,0,0,4,0,0,4,0,0,0,3,0,19,0,0,1,0,7,13,76,97,0,0,4,0,0,4,19,0,0,5,0,1,0,3,3,0,1,2,1,0,2,0,1,0,0,0,0,0,0,0,0
L16923,OfficialsActivity,com.whatEver.iitnstu.OfficialsActivity,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\OfficialsActivity.java,23,1,68,2,1,3,0,0,0,0,0,0,7,0,7,1,0,0,34,46,0,0,2,0,0,2,0,0,0,2,0,9,0,0,1,0,4,7,34,46,0,0,2,0,0,2,9,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L17256,ProfileActivity,com.whatEver.iitnstu.ProfileActivity,L11672,L103,C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\src\main\java\com\whatEver\iitnstu\ProfileActivity.java,19,1,56,2,1,2,0,0,0,0,0,0,8,0,4,1,0,0,26,38,0,0,1,0,0,1,0,0,0,0,0,16,0,0,1,0,1,8,26,38,0,0,1,0,0,1,16,0,0,2,0,0,0,8,1,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0
