"ID","Name","LongName","Parent","CLOC","LLOC","LOC","McCC","PDA","PUA"
"L119","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/appcompat/R.java","L118","0","1617","1638","1","0","13"
"L1742","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/asynclayoutinflater/R.java","L1741","0","165","184","1","0","11"
"L1898","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/cardview/R.java","L1897","0","56","70","1","0","6"
"L2181","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/coordinatorlayout/R.java","L2180","0","193","212","1","0","11"
"L2365","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/core/R.java","L2364","0","165","184","1","0","11"
"L2521","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/cursoradapter/R.java","L2520","0","4","13","1","0","1"
"L2526","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/customview/R.java","L2525","0","165","184","1","0","11"
"L2682","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/documentfile/R.java","L2681","0","4","13","1","0","1"
"L2687","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/drawerlayout/R.java","L2686","0","165","184","1","0","11"
"L2843","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/exifinterface/R.java","L2842","0","4","13","1","0","1"
"L2848","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/fragment/R.java","L2847","0","193","212","1","0","11"
"L3032","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/gridlayout/R.java","L3031","0","235","254","1","0","11"
"L3258","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/interpolator/R.java","L3257","0","4","13","1","0","1"
"L3816","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/lifecycle/R.java","L3815","0","4","13","1","0","1"
"L4030","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/loader/R.java","L4029","0","165","184","1","0","11"
"L4186","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/localbroadcastmanager/R.java","L4185","0","4","13","1","0","1"
"L4191","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/media/R.java","L4190","0","192","211","1","0","11"
"L4374","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/print/R.java","L4373","0","4","13","1","0","1"
"L4379","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/recyclerview/R.java","L4378","0","221","240","1","0","11"
"L4591","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/slidingpanelayout/R.java","L4590","0","165","184","1","0","11"
"L4747","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/swiperefreshlayout/R.java","L4746","0","165","184","1","0","11"
"L4903","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/transition/R.java","L4902","0","175","194","1","0","11"
"L5069","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/vectordrawable/R.java","L5068","0","193","212","1","0","11"
"L5253","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/versionedparcelable/R.java","L5252","0","4","13","1","0","1"
"L5258","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/viewpager/R.java","L5257","0","165","184","1","0","11"
"L1737","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/arch/core/R.java","L1736","0","4","13","1","0","1"
"L1952","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/constraintlayout/widget/R.java","L1951","0","231","243","1","0","4"
"L3265","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/legacy/coreui/R.java","L3264","0","193","212","1","0","11"
"L3449","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/legacy/coreutils/R.java","L3448","0","165","184","1","0","11"
"L3605","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/legacy/v4/R.java","L3604","0","220","239","1","0","11"
"L3819","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/lifecycle/extensions/R.java","L3818","0","193","212","1","0","11"
"L4003","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/lifecycle/livedata/R.java","L4002","0","4","13","1","0","1"
"L4013","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/lifecycle/process/R.java","L4012","0","4","13","1","0","1"
"L4020","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/lifecycle/service/R.java","L4019","0","4","13","1","0","1"
"L4025","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/androidx/lifecycle/viewmodel/R.java","L4024","0","4","13","1","0","1"
"L8038","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/google/firebase/R.java","L8037","0","166","186","1","0","12"
"L8669","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/gun0912/tedpermission/R.java","L8668","0","1446","1467","1","0","13"
"L10106","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/mikhaellopez/circularimageview/R.java","L10105","0","1561","1582","1","0","13"
"L11658","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/shockwave/pdfium/R.java","L11657","0","8","18","1","0","2"
"L11668","R.java","C:/Users/arnab/AndroidStudioProjects/IITNSTU/app/build/generated/not_namespaced_r_class_sources/debug/r/com/squareup/picasso/R.java","L11667","0","4","13","1","0","1"
