C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(9): PMD_SCN: Avoid short class names like R
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(12): PMD_SCN: Avoid short class names like anim
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(15): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(16): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(17): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(18): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(19): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(20): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(21): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(22): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(23): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(24): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(25): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(26): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(28): PMD_SCN: Avoid short class names like attr
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(31): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(32): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(33): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(34): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(35): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(36): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(37): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(38): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(39): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(40): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(41): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(42): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(43): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(44): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(45): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(46): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(47): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(48): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(49): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(50): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(51): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(52): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(53): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(54): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(55): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(56): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(57): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(58): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(59): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(60): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(61): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(62): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(63): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java(64): PMD_FDSBASOC: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
