"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","CLOC","DLOC","HNDB","LDC","LLDC","LLOC","LOC","MI","McCC","NOI","NOS","NUMPAR","TCLOC","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Security Rules","Clone Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Size Metric Rules"
"L124","R()","androidx.appcompat.R.<init>()V","L120","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\appcompat\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1744","R()","androidx.asynclayoutinflater.R.<init>()V","L1743","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\asynclayoutinflater\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1900","R()","androidx.cardview.R.<init>()V","L1899","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\cardview\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2183","R()","androidx.coordinatorlayout.R.<init>()V","L2182","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\coordinatorlayout\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2367","R()","androidx.core.R.<init>()V","L2366","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\core\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2523","R()","androidx.cursoradapter.R.<init>()V","L2522","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\cursoradapter\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2528","R()","androidx.customview.R.<init>()V","L2527","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\customview\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2684","R()","androidx.documentfile.R.<init>()V","L2683","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\documentfile\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2689","R()","androidx.drawerlayout.R.<init>()V","L2688","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\drawerlayout\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2845","R()","androidx.exifinterface.R.<init>()V","L2844","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\exifinterface\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2850","R()","androidx.fragment.R.<init>()V","L2849","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\fragment\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3034","R()","androidx.gridlayout.R.<init>()V","L3033","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\gridlayout\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3260","R()","androidx.interpolator.R.<init>()V","L3259","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\interpolator\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4017","R()","androidx.lifecycle.R.<init>()V","L4016","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\lifecycle\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4032","R()","androidx.loader.R.<init>()V","L4031","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\loader\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4188","R()","androidx.localbroadcastmanager.R.<init>()V","L4187","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\localbroadcastmanager\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4193","R()","androidx.media.R.<init>()V","L4192","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\media\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4376","R()","androidx.print.R.<init>()V","L4375","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\print\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4381","R()","androidx.recyclerview.R.<init>()V","L4380","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\recyclerview\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4593","R()","androidx.slidingpanelayout.R.<init>()V","L4592","L103","C:\Users\arnab\AndroidStudioProjects\IITNSTU\app\build\generated\not_namespaced_r_class_sources\debug\r\androidx\slidingpanelayout\R.java","10","5","10","19","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
