"ID","Name","LongName","Parent","Component","AD","CC","CCL","CCO","CI","CLC","CLLC","CLOC","LDC","LLDC","LLOC","LOC","NCL","NEN","NG","NIN","NM","NPKG","NPM","NS","PDA","PUA","TAD","TCLOC","TLLOC","TLOC","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","TPDA","TPUA","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Security Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0.253937","18951","17003","36941","406","108","0","90","29","0","502","500","401","0","0","75","116","32","129","379","0","21","409","41","10957","2","34","10896","35","2","51","0","1","0"
"L104","androidx","androidx","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","216","5453","5987","246","51","0","36","0","0","246","0","246","0","0","39","0","0","0","246","0","0","248","0","4774","0","0","4760","0","0","14","0","0","0"
"L5412","com","com","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0.494253","18729","11546","30941","159","65","0","53","29","0","255","500","154","0","0","31","116","32","129","132","0","21","160","41","6181","2","34","6135","35","2","36","0","1","0"
"L17607","firebase","firebase","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6","4","13","1","14","0","1","0","0","1","0","1","0","0","2","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
"L105","appcompat","androidx.appcompat","L104","L103","0","0","0","0","0","0","0","6","0","0","1617","1638","13","0","0","0","13","0","0","0","0","13","0","6","1617","1638","13","13","0","1","0","0","13","0","13","0","0","0","0","0","0","13","0","0","15","0","1582","0","0","1582","0","0","0","0","0","0"
"L1733","arch","androidx.arch","L104","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6","4","13","1","14","0","1","0","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
"L1740","asynclayoutinflater","androidx.asynclayoutinflater","L104","L103","0","0","0","0","0","0","0","6","0","0","165","184","11","0","0","0","11","0","0","0","0","11","0","6","165","184","11","13","0","1","0","0","11","0","11","0","0","0","0","0","0","11","0","0","11","0","134","0","0","134","0","0","0","0","0","0"
"L1896","cardview","androidx.cardview","L104","L103","0","0","0","0","0","0","0","6","0","0","56","70","6","0","0","0","6","0","0","0","0","6","0","6","56","70","6","13","0","1","0","0","6","0","6","0","0","0","0","0","0","6","0","0","6","0","39","0","0","39","0","0","0","0","0","0"
"L1948","constraintlayout","androidx.constraintlayout","L104","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6","231","243","4","14","0","1","0","0","4","0","4","0","0","1","0","0","0","4","0","0","4","0","221","0","0","221","0","0","0","0","0","0"
"L2179","coordinatorlayout","androidx.coordinatorlayout","L104","L103","0","0","0","0","0","0","0","6","0","0","193","212","11","0","0","0","11","0","0","0","0","11","0","6","193","212","11","13","0","1","0","0","11","0","11","0","0","0","0","0","0","11","0","0","11","0","162","0","0","162","0","0","0","0","0","0"
